100,石狩地方北部,43.40,141.50
101,石狩地方中部,43.00,141.30
102,石狩地方南部,42.85,141.50
105,渡島地方北部,42.30,140.20
106,渡島地方東部,41.90,140.70
107,渡島地方西部,41.60,140.25
110,檜山地方,42.10,140.10
115,後志地方北部,43.15,140.75
116,後志地方東部,42.80,140.85
117,後志地方西部,42.80,140.40
119,北海道奥尻島,42.15,139.50
120,空知地方北部,43.80,142.00
121,空知地方中部,43.50,142.00
122,空知地方南部,43.10,141.90
125,上川地方北部,44.30,142.40
126,上川地方中部,43.70,142.65
127,上川地方南部,43.20,142.50
130,留萌地方中北部,44.50,141.90
131,留萌地方南部,43.95,141.70
135,宗谷地方北部,45.20,141.90
136,宗谷地方南部,44.85,142.45
139,北海道利尻礼文,45.20,141.15
140,網走地方,43.80,144.40
141,北見地方,43.80,143.70
142,紋別地方,44.15,143.20
145,胆振地方西部,42.60,140.90
146,胆振地方中東部,42.70,141.70
150,日高地方西部,42.70,142.40
151,日高地方中部,42.45,142.40
152,日高地方東部,42.20,143.00
155,十勝地方北部,43.35,143.30
156,十勝地方中部,42.90,143.30
157,十勝地方南部,42.50,143.15
160,釧路地方北部,43.55,144.40
161,釧路地方中南部,43.20,144.40
165,根室地方北部,43.75,144.95
166,根室地方中部,43.40,145.00
167,根室地方南部,43.30,145.60
200,青森県津軽北部,40.90,140.60
201,青森県津軽南部,40.60,140.35
202,青森県三八上北,40.65,141.35
203,青森県下北,41.30,141.10
210,岩手県沿岸北部,39.85,141.70
211,岩手県沿岸南部,39.20,141.70
212,岩手県内陸北部,40.00,141.20
213,岩手県内陸南部,39.30,141.15
220,宮城県北部,38.65,141.15
221,宮城県中部,38.35,140.95
222,宮城県南部,38.05,140.75
230,秋田県沿岸北部,40.10,140.10
231,秋田県沿岸南部,39.447,140.20
232,秋田県内陸北部,40.16,140.60
233,秋田県内陸南部,39.40,140.55
240,山形県庄内,38.80,139.90
241,山形県最上,38.80,140.30
242,山形県村山,38.40,140.30
243,山形県置賜,38.00,140.00
250,福島県中通り,37.35,140.35
251,福島県浜通り,37.45,140.90
252,福島県会津,37.40,139.70
300,茨城県北部,36.57,140.55
301,茨城県南部,36.05,140.20
310,栃木県北部,36.90,139.80
311,栃木県南部,36.50,139.85
320,群馬県北部,36.70,139.00
321,群馬県南部,36.30,139.00
330,埼玉県北部,36.12,139.30
331,埼玉県南部,35.90,139.50
332,埼玉県秩父,36.00,138.95
340,千葉県北東部,35.73,140.50
341,千葉県北西部,35.70,140.10
342,千葉県南部,35.20,140.00
350,東京都２３区,35.65,139.75
351,東京都多摩東部,35.65,139.40
352,東京都多摩西部,35.80,139.10
354,神津島,34.20,139.15
355,伊豆大島,34.75,139.40
356,新島,34.40,139.25
357,三宅島,34.00,139.55
358,八丈島,33.00,139.80
359,小笠原,26.85,142.20
360,神奈川県東部,35.40,139.45
361,神奈川県西部,35.40,139.20
370,新潟県上越,37.10,138.15
371,新潟県中越,37.35,138.90
372,新潟県下越,38.10,139.30
375,新潟県佐渡,38.00,138.40
380,富山県東部,36.70,137.40
381,富山県西部,36.60,136.95
390,石川県能登,37.20,136.95
391,石川県加賀,36.45,136.55
400,福井県嶺北,36.00,136.25
401,福井県嶺南,35.65,135.83
411,山梨県中・西部,35.50,138.50
412,山梨県東部・富士五湖,35.65,138.90
420,長野県北部,36.70,138.15
421,長野県中部,36.20,138.15
422,長野県南部,35.65,137.80
430,岐阜県飛騨,36.15,137.20
431,岐阜県美濃東部,35.60,137.30
432,岐阜県美濃中西部,35.65,136.70
440,静岡県伊豆,34.85,138.95
441,静岡県東部,35.25,138.75
442,静岡県中部,35.10,138.25
443,静岡県西部,34.90,137.85
450,愛知県東部,34.95,137.50
451,愛知県西部,35.10,137.05
460,三重県北部,35.00,136.50
461,三重県中部,34.60,136.30
462,三重県南部,34.20,136.40
500,滋賀県北部,35.40,136.20
501,滋賀県南部,35.00,136.05
510,京都府北部,35.50,135.20
511,京都府南部,35.15,135.65
520,大阪府北部,34.80,135.50
521,大阪府南部,34.45,135.40
530,兵庫県北部,35.45,134.70
531,兵庫県南東部,34.90,135.10
532,兵庫県南西部,35.00,134.55
535,兵庫県淡路島,34.35,134.80
540,奈良県,34.30,135.85
550,和歌山県北部,34.10,135.35
551,和歌山県南部,33.75,135.65
560,鳥取県東部,35.40,134.25
562,鳥取県中部,35.40,133.80
563,鳥取県西部,35.30,133.40
570,島根県東部,35.30,132.95
571,島根県西部,34.80,132.20
575,島根県隠岐,36.20,133.20
580,岡山県北部,35.10,133.80
581,岡山県南部,34.70,133.80
590,広島県北部,34.80,132.75
591,広島県南東部,34.55,133.15
592,広島県南西部,34.40,132.50
600,徳島県北部,34.00,134.15
601,徳島県南部,33.80,134.35
610,香川県東部,34.30,134.15
611,香川県西部,34.20,133.80
620,愛媛県東予,33.95,133.20
621,愛媛県中予,33.75,132.85
622,愛媛県南予,33.35,132.60
630,高知県東部,33.50,134.05
631,高知県中部,33.65,133.50
632,高知県西部,33.10,132.95
700,山口県北部,34.35,131.35
702,山口県西部,34.10,131.10
703,山口県東部,34.10,132.10
704,山口県中部,34.20,131.70
710,福岡県福岡,33.60,130.40
711,福岡県北九州,33.75,130.90
712,福岡県筑豊,33.60,130.75
713,福岡県筑後,33.25,130.65
720,佐賀県北部,33.35,129.95
721,佐賀県南部,33.25,130.20
730,長崎県北部,33.20,129.70
731,長崎県南西部,32.90,129.90
732,長崎県島原半島,32.75,130.25
735,長崎県対馬,34.40,129.30
736,長崎県壱岐,33.80,129.70
737,長崎県五島,32.80,128.90
740,熊本県阿蘇,32.95,131.10
741,熊本県熊本,32.80,130.75
742,熊本県球磨,32.30,130.85
743,熊本県天草・芦北,32.35,130.30
750,大分県北部,33.50,131.35
751,大分県中部,33.20,131.60
752,大分県南部,32.90,131.70
753,大分県西部,33.20,131.15
760,宮崎県北部平野部,32.40,131.50
761,宮崎県北部山沿い,32.50,131.30
762,宮崎県南部平野部,31.80,131.30
763,宮崎県南部山沿い,31.90,131.00
770,鹿児島県薩摩,31.75,130.50
771,鹿児島県大隅,31.40,130.90
774,鹿児島県十島村,29.70,129.70
775,鹿児島県甑島,31.75,129.80
776,鹿児島県種子島,30.60,130.90
777,鹿児島県屋久島,30.35,130.50
778,鹿児島県奄美北部,28.30,129.45
779,鹿児島県奄美南部,27.60,128.80
800,沖縄県本島北部,26.65,128.10
801,沖縄県本島中南部,26.25,127.75
802,沖縄県久米島,26.40,126.80
803,沖縄県大東島,25.80,131.25
804,沖縄県宮古島,24.80,125.25
805,沖縄県石垣島,24.45,124.20
806,沖縄県与那国島,24.45,123.00
807,沖縄県西表島,24.30,123.80